epoch,train_loss,train_accuracy,test_recall@8
1,2.9368642482444964,40.74993791904644,7.588242739439011
2,1.5205415047988247,81.54954060094363,7.625138759613037
3,1.2973183421304748,88.9247578842811,7.5267501175403595
4,1.1790712386821143,92.55028557238639,8.227770775556564
5,1.1176102462168926,94.1768065557487,7.612840086221695
6,1.0790627880134327,95.39359324559226,7.403763383626938
7,1.045339567255139,95.9150732555252,7.944902777671814
8,1.0127968597802863,97.00769803824187,7.895708084106445
9,0.9963963392623341,97.082195182518,7.5759440660476685
10,0.9778652689372277,97.4298485224733,7.4529580771923065
11,0.9786448394035565,97.71542090886516,7.711228728294373
12,0.9901720360309988,96.98286565681649,7.957201451063156
13,0.9134796141897268,98.77079711944376,8.240069448947906
14,0.8827588280821546,99.01912093369755,7.858812063932419
15,0.8697819169384094,99.18053141296251,7.280777394771576
16,0.8639032614269593,99.10603426868637,8.658222109079361
17,0.8566960721564169,99.4040228457909,7.883409410715103
18,0.8567435735208034,99.2922771293767,7.5759440660476685
19,0.8538436381225406,99.4040228457909,8.104784786701202
20,0.8543534218480517,99.24261236652595,7.551346719264984
